Rank,Player,Youtube,Initial Time (seconds),Duration (in seconds),Giphy,MP4,Youtube Equivalant
48 (WR24),Alshon Jeffery | WR24,https://youtu.be/nDVGMEtYP-A?t=8,8,,,,yt nDVGMEtYP-A 8 
49 (WR25),Josh Gordon | WR25 (keeper),https://www.youtube.com/watch?v=1HudmJebVv0,,,,,yt 1HudmJebVv0  
50 (QB2),Russell Wilson | QB2,https://www.youtube.com/watch?v=bjBni5_06FI,,,,,yt bjBni5_06FI  
51 (RB21),Dion Lewis | RB21,https://www.youtube.com/watch?v=91GGoIvudBQ,,,,,yt 91GGoIvudBQ  
52 (RB22),Lamar Miller | RB22,https://www.youtube.com/watch?v=tCsNnHfB0E8,,,,,yt tCsNnHfB0E8  
53 (RB23),Mark Ingram | RB23,https://www.youtube.com/watch?v=tCsNnHfB0E8,,,,,yt tCsNnHfB0E8  
54 (RB24),Royce Freeman | RB24,https://www.youtube.com/watch?v=FoBxWD48g2w,,,,,yt FoBxWD48g2w  
55 (QB3),Tom Brady | QB3,https://www.youtube.com/watch?v=kxx_u67eUSA,,,,,yt kxx_u67eUSA  
56 (WR26),Michael Crabtree | WR26,https://www.youtube.com/watch?v=sUsSHI8UUdY,,,,,yt sUsSHI8UUdY  
57 (TE4),Greg Olsen | TE4,https://www.youtube.com/watch?v=OE9D2amtDOk,,,,,yt OE9D2amtDOk  
58 (QB4),Cam Newton | QB4,https://www.youtube.com/watch?v=ftK-kUHS_lE,,,,,yt ftK-kUHS_lE  
59 (WR27),Corey Davis | WR27,https://www.youtube.com/watch?v=ucedj4ySwDE,,,,,yt ucedj4ySwDE  
60 (WR28),Sammy Watkins | WR28,https://www.youtube.com/watch?v=1nBTFOVb_w4,,,,,yt 1nBTFOVb_w4  
61 (QB5),Deshaun Watson | QB5,https://www.youtube.com/watch?v=8XKNyjGdtNE,,,,,yt 8XKNyjGdtNE  
62 (TE5),Evan Engram | TE5,https://www.youtube.com/watch?v=HtkjFJfC7bI,,,,,yt HtkjFJfC7bI  
63 (WR29),Chris Hogan | WR29,https://www.youtube.com/watch?v=cbfwa6OKZJ0,,,,,yt cbfwa6OKZJ0  
64 (WR30),Emmanuel Sanders | WR30,https://www.youtube.com/watch?v=QE0K3LRp44c,,,,,yt QE0K3LRp44c  
65 (QB6),Drew Brees | QB6,https://www.youtube.com/watch?v=RnWP5HYemvs,,10,,,yt RnWP5HYemvs  10
66 (TE6),Delanie Walker | TE6,https://www.youtube.com/watch?v=QOIgzieGmfw,,,,,yt QOIgzieGmfw  
67 (RB25),Rex Burkhead | RB25,https://www.youtube.com/watch?v=WGRzJ-szV28,,,,,yt WGRzJ-szV28  
68 (TE7),Jimmy Graham | TE7,https://www.youtube.com/watch?v=zNGNcRpB6UI,,,,,yt zNGNcRpB6UI  
69 (WR31),Pierre Garcon | WR31,https://youtu.be/m6jsXQm5IrM?t=2m50s,170,12,,,yt m6jsXQm5IrM 170 12
70 (RB26),Tevin Coleman | RB26,https://www.youtube.com/watch?v=sNJxNizdBvc,,,,,yt sNJxNizdBvc  
71 (RB27),Marshawn Lynch | RB27,https://www.youtube.com/watch?v=EN4e0k90Noo,,,,,yt EN4e0k90Noo  
72 (WR32),Robert Woods | WR32,https://youtu.be/cg_oMIFBXq4?t=19s,19,,,,yt cg_oMIFBXq4 19 
73 (RB28),Rashaad Penny | RB28,https://www.youtube.com/watch?v=7pELxwTp7gk,,,,,yt 7pELxwTp7gk  
74 (RB29),Sony Michel | RB29,https://youtu.be/oHMMSK4atEM?t=1m14s,74,,,,yt oHMMSK4atEM 74 
75 (TE8),Kyle Rudolph | TE8,https://youtu.be/H16mXF6YM14?t=18s,18,,,,yt H16mXF6YM14 18 
76 (WR33),Jamison Crowder | WR33,https://youtu.be/NGKbReq2Bj0?t=18s,18,,,,yt NGKbReq2Bj0 18 
77 (QB7),Carson Wentz | QB7,https://youtu.be/FkY_vPo2ChA?t=9s,9,,,,yt FkY_vPo2ChA 9 
78 (WR34),Devin Funchess | WR34,https://www.youtube.com/watch?v=AOQFshKNdCc,,,,,yt AOQFshKNdCc  
79 (WR35),Robby Anderson | WR35,https://www.youtube.com/watch?v=gERUN-1X79A,,,,,yt gERUN-1X79A  
80 (WR36),Cooper Kupp | WR36,https://www.youtube.com/watch?v=y7KgomEwJo8,,,,,yt y7KgomEwJo8  
81 (RB30),Ronald Jones II | RB30,https://youtu.be/-oqAU5VxFWs?t=1m21s,81,,,,yt -oqAU5VxFWs 81 
82 (QB8),Kirk Cousins | QB8,https://youtu.be/DSiKmOyXuDg,0,15,,,#N/A
